Size,Time
5,3419000
6,3284300
7,3300000
8,3378200
9,3293300
10,3484600
11,3424100
12,3290300
13,3286000
14,3312400
15,3280800
16,3513200
17,3295500
18,3288700
19,3427500
20,3348500
21,3415100
22,3488700
23,3516500
24,3327900
25,3342400
26,3273500
27,3328200
28,3301300
29,3283800
30,3306700
31,3467900
32,3287500
33,3535000
34,3292600
35,3440400
36,3434400
37,3296200
38,3507100
39,3532600
40,3280600
41,3280500
42,3276500
43,3381100
44,3288900
45,3297800
46,3292400
47,3286700
48,3376900
49,3276200
50,3297000
51,3291000
52,3463300
53,3457200
54,3392000
55,3299800
56,3437400
57,3375000
58,3334700
59,3356400
60,3281100
61,3332900
62,3335100
63,3276000
64,3289700
65,3251200
66,3279900
67,3272800
68,3267500
70,5984600
71,6014000
72,6053700
73,5872800
74,6994400
75,5963100
76,5765400
77,6133000
78,6189200
79,4690500
80,5850700
81,6140300
82,4653700
83,5749400
84,5638100
85,8311400
86,5873300
87,7090800
88,5862900
89,8236700
90,8053900
91,8251500
92,6957800
93,6614800
94,6791200
95,6936400
96,6951400
97,6877400
98,6767100
99,6986500
100,8076600
101,9278400
102,7806300
103,7944700
104,7704500
105,7682100
106,7678000
107,7694300
108,7792500
109,7681400
110,7671600
111,8758000
112,8864400
113,8751700
114,8733800
115,10790600
116,11895700
117,10760800
118,10597100
119,10784300
120,11060900
121,12475800
122,23049100
123,23190900
124,13298900
125,12811700
126,24681700
127,12191600
128,14608900
129,13548500
130,29393800
131,14173300
132,14467900
133,13520600
134,14863100
135,13330100
136,13297500
137,13372600
138,14523500
139,15324100
140,15204700
141,14363100
142,14965700
143,16341700
144,15499000
145,15403200
146,19429700
147,16452500
148,19199800
149,18919900
150,17770000
151,25470100
152,19645200
153,17193700
154,23146700
155,19409800
156,19007900
157,21480400
158,20821900
159,23825300
160,32716200
161,29449000
162,20859700
163,21165600
164,21049100
165,21656400
166,22396900
167,22053600
168,22435400
169,22474600
170,23626200
171,24344100
172,23353700
173,23144400
174,24571900
175,26180200
176,23498400
177,25718500
178,26229200
179,27049000
180,27567200
181,26586500
182,28354600
183,29323900
184,56940800
185,30007000
186,30331200
187,30789700
188,33328100
189,34124300
190,34096100
191,37605500
192,39819400
193,40940700
194,36287100
195,35544600
196,42987400
197,43164400
198,37334800
199,38954000
200,35948300
